Temperatura de Trabalho (°C);Pressão de Trabalho (bar);Vazão de Trabalho (m3/h);Rotação de Trabalho (rpm);Tempo de Trabalho (h);Viscosidade (mPa.s);Data Execução;Local;Manutenção Preditiva;Funcionamento Contínuo (h);Manutenção Corretiva;Pressão Máxima (bar);Temperatura Máxima (°C);Vazão Máxima (m3/h);Rotação Máxima (rpm)
20.553731934219904;2.0236199449226713;115.15001662882007;657.8093852992622;0.4209330954394819;1.7257661935329578;2022-01-01T08:00:00;Bomba da Entrada;0;0.4209330954394819;0;10;120;180;1800
19.260217633531056;1.9851914720001096;74.14793683132818;591.022364548717;0.9448682212872312;2.3983123103805832;2022-01-01T10:00:00;Bomba da Entrada;0;1.3658013167267131;0;10;120;180;1800
20.071957228411918;2.149507914879125;119.85580320322079;670.865937763388;0.5649881425453921;2.0939765121470675;2022-01-01T12:00:00;Bomba da Entrada;0;1.930789459272105;0;10;120;180;1800
20.092295063006407;2.284126363643108;128.85324889298403;599.2054265703476;0.6146298696990451;2.0350589340452663;2022-01-01T14:00:00;Bomba da Entrada;0;2.54541932897115;0;10;120;180;1800
18.301687423951055;1.5022675413286493;133.15232822149056;513.9239218362311;1.0868456278002907;1.9952943341313047;2022-01-01T16:00:00;Bomba da Entrada;0;3.632264956771441;0;10;120;180;1800
19.18798706513694;2.318526752874492;85.57862597297162;561.2600022792614;0.5221549688651823;1.793271285355901;2022-01-02T00:00:00;Bomba da Entrada;0;4.154419925636623;0;10;120;180;1800
19.099342968210202;1.8177069385270685;84.06902963893477;548.5226864341897;1.0312633149061197;2.1049239792688423;2022-01-02T02:00:00;Bomba da Entrada;0;5.185683240542743;0;10;120;180;1800
19.63700752830715;1.9666043431279205;90.98569438277747;680.4692842387237;1.030293182077205;2.2825893058665847;2022-01-02T04:00:00;Bomba da Entrada;0;6.215976422619948;0;10;120;180;1800
18.4299972619923;1.7670351414626395;85.24630555669098;685.775143488187;1.0537019516029473;2.037878956085388;2022-01-02T06:00:00;Bomba da Entrada;0;7.269678374222895;0;10;120;180;1800
19.742125975973938;1.6760916127111523;125.13965270542518;479.36841596541024;0.6099192273284688;1.811125308053339;2022-01-02T08:00:00;Bomba da Entrada;0;7.879597601551364;0;10;120;180;1800
